OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
GQ369048.1.1385	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
FN421989.1.1411	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
GU940705.1.1318	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Ambiguous_taxa	Ambiguous_taxa
FM209302.1.1494	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
JF267691.1.1491	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	uncultured bacterium
AJ532714.1.1323	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	Ambiguous_taxa
FJ936965.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured bacterium
JF265850.1.1359	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Acidibacter	Ambiguous_taxa
GBGR01024531.3.1247	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Acidibacter	
HQ190278.1.1525	Bacteria	Verrucomicrobiota	OPB35 soil group	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
