ID	MRF_flow_1_1_S17_L007.profile	MRF_flow_1_3_S19_L007.profile	MRF_flow_2_1_S21_L007.profile	MRF_flow_2_2_S23_L007.profile	MRF_flow_2_3_S25_L007.profile	MRF_flow_3_2_S27_L007.profile	MRF_pod_1_1_S28_L007.profile	MRF_pod_2_1_S29_L007.profile	MRF_pod_2_2_S18_L007.profile	MRF_senesc_1_2_S20_L007.profile	MRF_senesc_1_3_S22_L007.profile	MRF_senesc_2_3_S24_L007.profile	MRF_senesc_3_1_S26_L007.profile	MRF_senesc_3_2_S37_L008.profile	MRF_senesc_3_3_S39_L008.profile	MRF_V2_1_1_S41_L008.profile	MRF_V2_1_2_S43_L008.profile	MRF_V2_1_3_S31_L008.profile	MRF_V2_2_1_S33_L008.profile	MRF_V2_2_3_S35_L008.profile	MRF_V2_3_3_S36_L008.profile	MRF_V5_1_1_S38_L008.profile	MRF_V5_1_2_S40_L008.profile	MRF_V5_2_2_S42_L008.profile	MRF_V5_2_3_S30_L008.profile	MRF_V5_3_1_S32_L008.profile	MRF_V5_3_2_S34_L008.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria	100.0	100.0	100.0	100.0	100.0	99.94694	100.0	100.0	99.97896	100.0	99.22851	99.95935	95.00026	100.0	99.90071	99.97685	99.9893	99.97962	100.0	99.74306	99.95714	99.90805	100.0	100.0	99.8686	99.99145	99.93033
k__Bacteria|p__Acidobacteria	0.0	1.08502	1.99339	2.04728	1.20531	1.61374	1.19829	0.45481	0.51559	0.74254	0.0	0.6192	0.30073	0.712	1.89518	0.78135	1.05783	0.51348	0.77425	1.42209	1.68234	1.04663	0.93962	1.05901	0.73234	0.78901	0.63084
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.0	1.08502	1.99339	2.04728	1.20531	1.61374	1.19829	0.45481	0.51559	0.74254	0.0	0.6192	0.30073	0.712	1.89518	0.78135	1.05783	0.51348	0.77425	1.42209	1.68234	1.04663	0.93962	1.05901	0.73234	0.78901	0.63084
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.0	1.08502	1.99339	2.04728	1.20531	1.61374	1.19829	0.45481	0.51559	0.74254	0.0	0.6192	0.30073	0.712	1.89518	0.78135	1.05783	0.51348	0.77425	1.42209	1.68234	1.04663	0.93962	1.05901	0.73234	0.78901	0.63084
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.0	1.08502	1.99339	2.04728	1.20531	1.61374	1.19829	0.45481	0.51559	0.74254	0.0	0.6192	0.30073	0.712	1.89518	0.78135	1.05783	0.51348	0.77425	1.42209	1.68234	1.04663	0.93962	1.05901	0.73234	0.78901	0.63084
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0.0	0.41317	1.58195	1.41343	0.0858	0.94758	1.19829	0.17319	0.0367	0.51265	0.0	0.0	0.0	0.27112	0.0	0.78135	0.0753	0.19553	0.0	0.0	0.0	0.07451	0.64871	1.05901	0.45439	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0.0	0.67186	0.41144	0.63385	1.11951	0.66616	0.0	0.28162	0.47889	0.22989	0.0	0.6192	0.30073	0.44088	1.89518	0.0	0.98253	0.31795	0.77425	1.42209	1.68234	0.97212	0.29091	0.0	0.27794	0.78901	0.63084
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0.0	0.67186	0.41144	0.63385	1.11951	0.66616	0.0	0.28162	0.47889	0.22989	0.0	0.6192	0.30073	0.44088	1.89518	0.0	0.98253	0.31795	0.77425	1.42209	1.68234	0.97212	0.29091	0.0	0.27794	0.78901	0.63084
k__Bacteria|p__Actinobacteria	26.95367	24.61237	24.85289	27.3156	33.38886	39.46024	31.37706	20.55046	31.82863	34.48921	22.31753	26.69821	27.11129	21.73893	35.54512	39.1849	40.08796	40.52499	29.05451	38.62299	35.83969	30.52543	29.6774	36.19744	33.24029	50.45145	28.54484
