ID	MRF_flow_1_1_S17_L007.profile	MRF_flow_1_3_S19_L007.profile	MRF_flow_2_1_S21_L007.profile	MRF_flow_2_2_S23_L007.profile	MRF_flow_2_3_S25_L007.profile	MRF_flow_3_2_S27_L007.profile	MRF_pod_1_1_S28_L007.profile	MRF_pod_2_1_S29_L007.profile	MRF_pod_2_2_S18_L007.profile	MRF_senesc_1_2_S20_L007.profile	MRF_senesc_1_3_S22_L007.profile	MRF_senesc_2_3_S24_L007.profile	MRF_senesc_3_1_S26_L007.profile	MRF_senesc_3_2_S37_L008.profile	MRF_senesc_3_3_S39_L008.profile	MRF_V2_1_1_S41_L008.profile	MRF_V2_1_2_S43_L008.profile	MRF_V2_1_3_S31_L008.profile	MRF_V2_2_1_S33_L008.profile	MRF_V2_2_3_S35_L008.profile	MRF_V2_3_3_S36_L008.profile	MRF_V5_1_1_S38_L008.profile	MRF_V5_1_2_S40_L008.profile	MRF_V5_2_2_S42_L008.profile	MRF_V5_2_3_S30_L008.profile	MRF_V5_3_1_S32_L008.profile	MRF_V5_3_2_S34_L008.profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria	26.95367	24.61237	24.85289	27.3156	33.38886	39.46024	31.37706	20.55046	31.82863	34.48921	22.31753	26.69821	27.11129	21.73893	35.54512	39.1849	40.08796	40.52499	29.05451	38.62299	35.83969	30.52543	29.6774	36.19744	33.24029	50.45145	28.54484
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	24.07461	20.68384	20.96022	25.41476	30.04635	36.22819	28.17839	18.65021	30.32109	31.29597	19.14172	24.42709	23.11676	19.35871	32.71369	34.45047	35.52005	36.77452	25.1676	34.4191	31.0468	26.66459	26.10745	31.56777	29.17727	47.68614	25.77831
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae	0.0	0.0	0.14831	0.46314	0.14259	0.2352	0.0	0.31354	0.3022	0.34857	0.37942	0.07629	0.2154	0.15575	0.21406	0.83866	0.64045	0.11661	0.6833	0.78456	0.28426	0.48975	0.40793	0.62605	0.47361	0.46581	0.34088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas	0.0	0.0	0.14831	0.46314	0.14259	0.2352	0.0	0.31354	0.3022	0.34857	0.37942	0.07629	0.2154	0.15575	0.21406	0.83866	0.64045	0.11661	0.6833	0.78456	0.28426	0.48975	0.40793	0.62605	0.47361	0.46581	0.34088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas|s__Cellulomonas_unclassified	0.0	0.0	0.14831	0.46314	0.14259	0.2352	0.0	0.31354	0.3022	0.34857	0.37942	0.07629	0.2154	0.15575	0.21406	0.83866	0.64045	0.11661	0.6833	0.78456	0.28426	0.48975	0.40793	0.62605	0.47361	0.46581	0.34088
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae	3.30468	5.45459	4.78458	3.05025	2.77919	3.94474	4.17838	1.87603	2.45192	5.62148	2.99669	3.45502	3.37771	2.60312	4.97154	4.61862	6.49949	4.07251	4.54251	6.77365	5.9922	3.51062	3.5838	4.46744	4.48752	5.35667	4.13191
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae|g__Geodermatophilaceae_unclassified	3.30468	5.45459	4.78458	3.05025	2.77919	3.94474	4.17838	1.87603	2.45192	5.62148	2.99669	3.45502	3.37771	2.60312	4.97154	4.61862	6.49949	4.07251	4.54251	6.77365	5.9922	3.51062	3.5838	4.46744	4.48752	5.35667	4.13191
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae	2.47816	1.12744	2.45048	3.20159	7.4307	8.1683	1.84933	4.54368	5.53266	6.2739	2.90421	1.30665	3.80943	4.48481	5.94016	7.0582	7.21404	5.0816	3.34652	4.55882	8.3324	3.70603	3.16476	4.85962	6.5713	6.90601	5.13174
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Agromyces	0.16016	0.27904	0.0	0.0	0.0	0.13841	0.0	0.0	0.2567	0.91572	0.16091	0.0	0.12552	0.08946	0.0	0.1907	0.38383	0.0	0.0	0.47077	0.39381	0.25638	0.0	0.68867	0.11438	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Agromyces|s__Agromyces_unclassified	0.16016	0.27904	0.0	0.0	0.0	0.13841	0.0	0.0	0.2567	0.91572	0.16091	0.0	0.12552	0.08946	0.0	0.1907	0.38383	0.0	0.0	0.47077	0.39381	0.25638	0.0	0.68867	0.11438	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia	2.31799	0.8484	2.45048	3.20159	7.4307	8.02989	1.84933	4.54368	5.27595	5.35818	2.7433	1.30665	3.68391	4.39535	5.94016	6.8675	6.83021	5.0816	3.34652	4.08804	7.93859	3.44965	3.16476	4.17095	6.45692	6.90601	5.13174
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia|s__Leifsonia_unclassified	2.31799	0.8484	2.45048	3.20159	7.4307	8.02989	1.84933	4.54368	5.27595	5.35818	2.7433	1.30665	3.68391	4.39535	5.94016	6.8675	6.83021	5.0816	3.34652	4.08804	7.93859	3.44965	3.16476	4.17095	6.45692	6.90601	5.13174
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0825	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0825	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_globiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0825	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_globiformis|t__GCF_000238915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0825	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae	16.92623	12.89249	13.05249	18.373	18.41373	22.03761	21.57729	10.83912	19.5095	15.92092	11.29315	17.00982	14.24719	11.00281	20.78321	19.38502	19.90591	24.08867	15.6147	20.53859	13.41725	17.52539	17.7289	20.58707	16.22972	33.02677	14.90599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes	16.92623	12.89249	13.05249	18.373	18.41373	21.9648	21.57729	10.80828	19.45647	15.92092	11.29315	17.00982	14.24719	11.00281	20.78321	19.28088	19.83433	23.78056	15.6147	20.41504	13.41725	17.52539	17.7289	20.58707	16.16868	32.94018	14.90599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_globisporus	0.14095	0.0	0.0	0.0	0.0	0.03076	0.0	0.0	0.55493	0.16597	0.16328	0.11133	0.05441	0.16946	0.39797	0.15381	0.0	0.0854	0.37053	0.0	0.35891	0.11681	0.0	0.13645	0.0	0.55708	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_globisporus|t__GCF_000379645	0.14095	0.0	0.0	0.0	0.0	0.03076	0.0	0.0	0.55493	0.16597	0.16328	0.11133	0.05441	0.16946	0.39797	0.15381	0.0	0.0854	0.37053	0.0	0.35891	0.11681	0.0	0.13645	0.0	0.55708	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes_unclassified	16.78528	12.89249	13.05249	18.373	18.41373	21.93404	21.57729	10.80828	18.90154	15.75495	11.12987	16.89848	14.19278	10.83335	20.38524	19.12707	19.83433	23.69517	15.24417	20.41504	13.05834	17.40858	17.7289	20.45062	16.16868	32.3831	14.90599
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Salinispora	0.0	0.0	0.0	0.0	0.0	0.07281	0.0	0.03084	0.05302	0.0	0.0	0.0	0.0	0.0	0.0	0.10413	0.07158	0.3081	0.0	0.12355	0.0	0.0	0.0	0.0	0.06105	0.08659	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Salinispora|s__Salinispora_unclassified	0.0	0.0	0.0	0.0	0.0	0.07281	0.0	0.03084	0.05302	0.0	0.0	0.0	0.0	0.0	0.0	0.10413	0.07158	0.3081	0.0	0.12355	0.0	0.0	0.0	0.0	0.06105	0.08659	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25794	0.0	0.0	0.0	0.0	0.0	0.32458	0.14492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae|g__Nakamurella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25794	0.0	0.0	0.0	0.0	0.0	0.32458	0.14492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella_multipartita	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25794	0.0	0.0	0.0	0.0	0.0	0.32458	0.14492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella_multipartita|t__GCF_000024365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25794	0.0	0.0	0.0	0.0	0.0	0.32458	0.14492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae	0.62732	0.45001	0.36786	0.14174	0.63992	1.15647	0.28638	0.62396	0.46261	1.0926	0.56711	0.93372	0.95738	0.85807	0.49092	1.36568	0.86402	1.2906	0.76693	0.59005	1.78902	0.69173	0.26675	0.37067	1.08956	0.51586	0.83414
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella	0.62732	0.45001	0.36786	0.14174	0.63992	1.15647	0.28638	0.62396	0.38727	0.50088	0.56711	0.44284	0.42765	0.47761	0.34853	0.92945	0.86402	0.55692	0.76693	0.59005	1.62614	0.54587	0.26675	0.37067	1.08956	0.51586	0.69392
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella|s__Kribbella_unclassified	0.62732	0.45001	0.36786	0.14174	0.63992	1.15647	0.28638	0.62396	0.38727	0.50088	0.56711	0.44284	0.42765	0.47761	0.34853	0.92945	0.86402	0.55692	0.76693	0.59005	1.62614	0.54587	0.26675	0.37067	1.08956	0.51586	0.69392
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07534	0.59173	0.0	0.49088	0.52973	0.38046	0.1424	0.43623	0.0	0.73368	0.0	0.0	0.16288	0.14586	0.0	0.0	0.0	0.0	0.14023
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07534	0.59173	0.0	0.49088	0.52973	0.38046	0.1424	0.43623	0.0	0.73368	0.0	0.0	0.16288	0.14586	0.0	0.0	0.0	0.0	0.14023
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.563	0.0	0.0	0.5394	0.43212	0.0	0.52687	0.0	0.0	0.0	0.22735	0.0	0.81308	0.0	0.0	0.2863	0.0	0.49207	0.18486	0.0	0.22379	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Pseudonocardia	0.0	0.0	0.0	0.0	0.0	0.563	0.0	0.0	0.13583	0.43212	0.0	0.52687	0.0	0.0	0.0	0.22735	0.0	0.81308	0.0	0.0	0.2863	0.0	0.49207	0.18486	0.0	0.22379	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia_unclassified	0.0	0.0	0.0	0.0	0.0	0.563	0.0	0.0	0.13583	0.43212	0.0	0.52687	0.0	0.0	0.0	0.22735	0.0	0.81308	0.0	0.0	0.2863	0.0	0.49207	0.18486	0.0	0.22379	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharomonospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae	0.14603	0.75932	0.1565	0.11623	0.13681	0.12287	0.28701	0.32987	0.5934	1.09468	0.2366	0.61832	0.23605	0.25415	0.24195	0.0	0.25123	0.75098	0.21365	0.86909	0.25849	0.66332	0.33473	0.41846	0.0	0.94408	0.36585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces	0.14603	0.75932	0.1565	0.11623	0.13681	0.12287	0.28701	0.32987	0.5934	1.09468	0.2366	0.61832	0.23605	0.25415	0.24195	0.0	0.25123	0.75098	0.21365	0.86909	0.25849	0.66332	0.33473	0.41846	0.0	0.94408	0.36585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_acidiscabies	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_acidiscabies|t__GCF_000242715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chartreusis	0.14603	0.75932	0.1565	0.11623	0.13681	0.12287	0.28701	0.32987	0.50686	1.09468	0.2366	0.61832	0.11633	0.25415	0.24195	0.0	0.25123	0.60974	0.0	0.86909	0.25849	0.12534	0.33473	0.41846	0.0	0.60634	0.36585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chartreusis|t__Streptomyces_chartreusis_unclassified	0.14603	0.75932	0.1565	0.11623	0.13681	0.12287	0.28701	0.32987	0.50686	1.09468	0.2366	0.61832	0.11633	0.25415	0.24195	0.0	0.25123	0.60974	0.0	0.86909	0.25849	0.12534	0.33473	0.41846	0.0	0.60634	0.36585
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_griseoaurantiacus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14124	0.21365	0.0	0.0	0.53798	0.0	0.0	0.0	0.33774	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_griseoaurantiacus|t__GCF_000204605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14124	0.21365	0.0	0.0	0.53798	0.0	0.0	0.0	0.33774	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae	0.59221	0.0	0.0	0.06881	0.5034	0.0	0.0	0.12403	0.52992	0.25375	0.76454	0.50041	0.27359	0.0	0.07184	0.63237	0.0	0.56047	0.0	0.30434	0.68689	0.07774	0.12851	0.0536	0.24306	0.24715	0.0678
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae|g__Streptosporangiaceae_unclassified	0.59221	0.0	0.0	0.06881	0.5034	0.0	0.0	0.12403	0.52992	0.25375	0.76454	0.50041	0.27359	0.0	0.07184	0.63237	0.0	0.56047	0.0	0.30434	0.68689	0.07774	0.12851	0.0536	0.24306	0.24715	0.0678
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	2.87906	3.92854	3.89267	1.90083	3.34251	3.23205	3.19867	1.90024	1.50754	3.19323	3.17581	2.27111	3.99454	2.38023	2.83143	4.73443	4.56791	3.75047	3.8869	4.20389	4.79289	3.86084	3.56994	4.62967	4.06303	2.7653	2.76653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales|f__Solirubrobacterales_unclassified	2.87906	3.92854	3.89267	1.90083	3.34251	3.23205	3.19867	1.90024	1.50754	3.19323	3.17581	2.27111	3.99454	2.38023	2.83143	4.73443	4.56791	3.75047	3.8869	4.20389	4.79289	3.86084	3.56994	4.62967	4.06303	2.7653	2.76653
k__Bacteria|p__Bacteroidetes	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	1.07677	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	2.97255
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	1.07677	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	2.97255
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.27045	0.75245	0.09545	0.4141	0.5096	1.21984	0.32184	0.8854	0.92218	1.07677	0.79707	0.55798	0.693	0.49111	1.46624	0.45117	0.24841	0.80629	0.32565	0.43645	0.04855	0.76083	0.85975	0.12612	0.41257	0.23019	2.97255
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38071
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24362
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24362
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13709
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13709
